,Group,Type,OverStatus,Recruited,Survey_Completed,Boarded,Cert_Completed,Slides_Completed,Launch_Completed
67,Group_79,Type3,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
68,Group_81,Type1,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
69,Group_82,Type2,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
70,Group_84,Type4,Yes No No No No No,Yes,No,No,No,No,No
71,Group_85,Type1,Yes No No No No No,Yes,No,No,No,No,No
72,Group_86,Type2,Yes Yes Yes Yes Yes No,Yes,Yes,Yes,Yes,Yes,No
73,Group_88,Type4,Yes No No No No No,Yes,No,No,No,No,No
74,Group_89,Type1,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
75,Group_90,Type2,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
76,Group_91,Type3,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
77,Group_95,Type3,Yes Yes No No No No,Yes,Yes,No,No,No,No
78,Group_96,Type4,Yes Yes Yes No No No,Yes,Yes,Yes,No,No,No
79,Group_97,Type1,Yes Yes No No No No,Yes,Yes,No,No,No,No
80,Group_99,Type3,Yes Yes Yes Yes Yes Yes,Yes,Yes,Yes,Yes,Yes,Yes
81,Group_100,Type4,Yes Yes No No No No,Yes,Yes,No,No,No,No
